kelas,hari,tanggal,mata_kuliah,waktu
2kb04,Selasa,05 Agustus 2025,Bahasa Inggris Bisnis,10.30 - 11.30
2kb04,Selasa,05 Agustus 2025,Statistika dan Probabilitas Terapan,13.00 - 14.00
3kb01,Selasa,29 Juli 2025,Internet of Things (IoT),11.45- 12.45
3kb01,Rabu,30 Juli 2025,Jaringan Komputer Lanjut,14.15 - 15.15
3kb01,Kamis,31 Juli 2025,Sistem Cerdas Lanjut,16.45 - 17.45
3kb01,Sabtu,02 Agustus 2025,Terapan Teori Graf,11.45- 12.45
3kb02,Selasa,29 Juli 2025,Internet of Things (IoT),11.45- 12.45
3kb02,Rabu,30 Juli 2025,Jaringan Komputer Lanjut,14.15 - 15.15
3kb02,Kamis,31 Juli 2025,Sistem Cerdas Lanjut,16.45 - 17.45
3kb02,Sabtu,02 Agustus 2025,Terapan Teori Graf,11.45- 12.45
3kb03,Selasa,29 Juli 2025,Internet of Things (IoT),11.45- 12.45
3kb03,Rabu,30 Juli 2025,Jaringan Komputer Lanjut,14.15 - 15.15
3kb03,Kamis,31 Juli 2025,Sistem Cerdas Lanjut,16.45 - 17.45
3kb03,Sabtu,02 Agustus 2025,Terapan Teori Graf,11.45- 12.45
3kb04,Selasa,29 Juli 2025,Internet of Things (IoT),11.45- 12.45
3kb04,Rabu,30 Juli 2025,Jaringan Komputer Lanjut,14.15 - 15.15
3kb04,Kamis,31 Juli 2025,Sistem Cerdas Lanjut,16.45 - 17.45
3kb04,Sabtu,02 Agustus 2025,Terapan Teori Graf,11.45- 12.45
3kb05,Selasa,29 Juli 2025,Internet of Things (IoT),11.45- 12.45
3kb05,Rabu,30 Juli 2025,Jaringan Komputer Lanjut,14.15 - 15.15
3kb05,Kamis,31 Juli 2025,Sistem Cerdas Lanjut,16.45 - 17.45
3kb05,Sabtu,02 Agustus 2025,Terapan Teori Graf,11.45- 12.45
4kb01,Selasa,29 Juli 2025,Analisis Kinerja Sistem,08.00 - 09.00
4kb01,Selasa,29 Juli 2025,Sistem Multimedia,10.30 - 11.30
4kb01,Rabu,30 Juli 2025,Computer Vision,10.30 - 11.30
4kb01,Kamis,31 Juli 2025,Kewirausahaan Teknologi Informasi,09.15 - 10.15
